#Day,Dutse,Abuja Municipal Area Council,Ekeremor,Zurmi,Oturkpo,Maiduguri,Egbeda,Mangu,Uyo,Kuje,Shani,Igabi,Katsina,Gummi,Mashegu,Wukari,Gada,Ifo,Aguata,Kukawa,Okene,Geidam,Bali,Rimin Gado,Nasarawa,Ogoja,Fufore,Akwanga,Owo,Bauchi,Kankara,Nguru,Nsukka,Giwa,Augie,Bassa,Ohafia,Gwoza,Shiroro,Magumeri,Kauru,Mariga,Gwagwalada,Sapele,Gboko,Talata Mafara,Onicha,Bonny,Gombe,Bwari,Birnin Kebbi,Toungo,Batsari,Maigatari,Sabon Birni,Damboa,Ikere,Ningi,Tudun Wada,Mushin,Awe,Gujba,Gusau,Kwande,Wase,Bama,Yenagoa,Jalingo,Mokwa,Igueben,Daura,Odeda,Oron,Tafawa-Balewa,Barkin Ladi,Mkpat Enin,Okitipupa,Kafur,Maiha,Zuru,Maru,Alkaleri,Michika,Gwadabawa,Umuahia South,Karu,Biu,Toro,Chikun,Takai,Ejigbo,Abadam,Gwaram,Iseyin,Tureta,Ikom,Gassol,Gubio,Ungogo,Ikwo,Ngala
0,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.0
1,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.0
2,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.0
3,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.0
4,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.0
5,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.08,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.9
6,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.7799999999999999,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.9
7,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.7799999999999999,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.974,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.9
8,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.106,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.7799999999999999,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.974,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.0,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.9
9,0.112,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.091,0.906,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.086,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.081,0.7799999999999999,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.124,0.0,0.097,0.085,0.116,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.09,0.082,0.0,0.0,0.974,0.0,0.0,0.0,0.0,0.111,0.077,0.0,0.9,0.075,0.0,0.086,0.0,0.0,0.0,0.1,0.0,0.9
