Aba,Etiam_Etoi,76
Aba,Okobe,118
Aba,Akokwa,124
Abakpa_Nike,Akokwa,111
Abakpa_Nike,Ankpa,122
Makurdi,Obi,93
Abinsi,Izi,210
Abinsi,Makurdi,24
Abinsi,Ankpa,216
Bali,Abinsi,332
Bali,Billiri,369
Billiri,Gulani,139
Billiri,Biu,171
Billiri,Gombi,296
Biu,Gulani,77
Biu,Gombi,92
Burra,Iggi,111
Daraga,Funtua,233
Dawakin_Kudu,Iggi,114
Dawakin_Kudu,Burra,136
Doka,Funtua,146
Doka,Dawakin_Kudu,219
Doka,Paiko,243
Ehor,Okitipupa,189
Ehor,Ogu_Ikpele,190
Ehor,Akokwa,191
Etiam_Etoi,Inyima,190
Funtua,Dawakin_Kudu,209
Akwanga,Obi,95
Hawan_Kibu,Burra,222
Hawan_Kibu,Akwanga,92
Akwanga,Idu,139
Ibafo,Ogbere,108
Ibrede,Okobe,135
Ibrede,Ogu_Ikpele,60
Ibrede,Akokwa,94
Ido_Ekiti,Share,163
Idu,Doka,195
Ife_Ife,Ido_Ekiti,107
Inyima,Izi,134
Inyima,Akokwa,158
Inyima,Abakpa_Nike,170
Izi,Abakpa_Nike,123
Kosofe,Ibafo,31
Kosofe,Okitipupa,206
Ogbere,Ife_Ife,88
Ogu_Ikpele,Okobe,106
Okitipupa,Ife_Ife,143
Paiko,Idu,113
Ruawuri,Daraga,406
Share,Paiko,335
Zuru,Daraga,93
Maiduguri,Ngouboua,275
Biu,Maiduguri,193
Minawao,Gombi,193
Yenagoa,Okobe,39
Maiduguri,Diffa,204
Maradi,Dawakin_Kudu,289
Minawao,Mayo_Tsanaga,21
Gombi,Mayo_Sava,257
Maiduguri,Mayo_Sava,156
Maiduguri,Dar_Es_Salam,322
Maiduguri,Logone_et_Chari,216
Ruawuri,Maradi,285
