#Day,Bagerhat,Benapole,Chaugachha,Daulatpur,Dumuria,Fakirhat,Jessore(Jashore),Jhikargacha,Kalaroa,Kalia,Kaliganj,Keshabpur,Khulna,Lohagara,Manirampur,Mongla,Morrelganj,Narail,Noapara,Phultala,Satkhira,Sharankholamuria
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1
7,3,1,1,0,1,0,1,1,0,0,1,1,1,0,1,3,5,0,1,0,1,4
8,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
9,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
10,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
11,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
12,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
13,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
14,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
15,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
16,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
17,4,2,2,1,2,1,2,2,1,1,2,2,2,1,2,4,6,1,2,1,2,5
18,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
19,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
20,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
21,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
22,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
23,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
24,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
25,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
26,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,5
27,3,1,1,1,2,1,1,1,1,2,2,2,1,2,1,3,5,2,2,1,1,4
28,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
29,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
30,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
31,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
32,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
33,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
34,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
35,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
36,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
37,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
38,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
39,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3
40,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,5,1,2,1,2,3



