#Day,Dutse,Abuja Municipal Area Council,Ekeremor,Zurmi,Oturkpo,Maiduguri,Egbeda,Mangu,Uyo,Kuje,Shani,Igabi,Katsina,Gummi,Mashegu,Wukari,Gada,Ifo,Aguata,Kukawa,Okene,Geidam,Bali,Rimin Gado,Nasarawa,Ogoja,Fufore,Akwanga,Owo,Bauchi,Kankara,Nguru,Nsukka,Giwa,Augie,Bassa,Ohafia,Gwoza,Shiroro,Magumeri,Kauru,Mariga,Gwagwalada,Sapele,Gboko,Talata Mafara,Onicha,Bonny,Gombe,Bwari,Birnin Kebbi,Toungo,Batsari,Maigatari,Sabon Birni,Damboa,Ikere,Ningi,Tudun Wada,Mushin,Awe,Gujba,Gusau,Kwande,Wase,Bama,Yenagoa,Jalingo,Mokwa,Igueben,Daura,Odeda,Oron,Tafawa-Balewa,Barkin Ladi,Mkpat Enin,Okitipupa,Kafur,Maiha,Zuru,Maru,Alkaleri,Michika,Gwadabawa,Umuahia South,Karu,Biu,Toro,Chikun,Takai,Ejigbo,Abadam,Gwaram,Iseyin,Tureta,Ikom,Gassol,Gubio,Ungogo,Ikwo,Ngala
0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
6,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
7,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
8,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
9,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
10,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
11,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
12,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
13,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
14,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
15,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
16,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.135,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
17,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.135,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
18,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.135,0.0,0.0,0.0,0.0,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
19,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.135,0.0,0.0,0.0,0.9,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
20,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.135,0.0,0.0,0.0,0.9,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
21,0.0,0.0,0.0,0.0,0.203,0.0,0.0,1.135,0.0,0.0,0.0,0.9,0.0,0.8,0.183,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.19,0.0,0.0,0.201,0.0,0.0,0.22,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.191,0.0,0.9,0.193,0.161,0.0,0.7,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
