#name1,#name2,distance,forced_redirection
Igbo-Eze North,Nsukka,21.18,0
Igbo-Eze North,Igalamela-Odolu,58.86,0
Igbo-Eze North,Okpokwu,66.55,0
Fune,Potiskum,91.24,0
Fune,Tarmua,140.76,0
Fune,Damban,142.7,0
Ife Central,Ife East,24.05,0
Ife Central,Ifelodun,67.35,0
Ife Central,Ejigbo,63.99,0
Bichi,Ungogo,35.09,0
Bichi,Dala,36.52,0
Bichi,Rimin Gado,57.9,0
Fakai,Zuru,50.34,0
Fakai,Gummi,141.04,0
Fakai,Rijau,97.26,0
Uruan,Uyo,12.85,0
Uruan,Oron,43.55,0
Uruan,Ibiono Ibom,48.84,0
Yola North,Camp(12),23.83,0
Yola North,Fufore,74.12,0
Yola North,Lamurde,78.19,0
Obio/Akpor,Port-Harcourt,16.7,0
Obio/Akpor,Degema,74.66,0
Obio/Akpor,Aba South,50.57,0
Qua'An Pan,Shendam,79.58,0
Qua'An Pan,Awe,116.31,0
Qua'An Pan,Mangu,89.58,0
Esan South East,Igueben,43.42,0
Esan South East,Anambra West,120.18,0
Esan South East,Esan West,60.75,0
Yewa North (Egbado North),Abeokuta South,58.77,0
Yewa North (Egbado North),Ifo,87.53,0
Yewa North (Egbado North),Odeda,76.06,0
Katcha,Pategi,109.53,0
Katcha,Kabba/Bunu,245.92,0
Katcha,Gwagwalada,139.41,0
Warji,Gwaram,43.88,0
Warji,Birnin Kudu,78.36,0
Warji,Ganjuwa,160.55,0
Kaduna South,Chikun,13.2,0
Kaduna South,Igabi,36.01,0
Kaduna South,Muya,59.65,0
Taura,Jahun,59.83,0
Taura,Maigatari,114.63,0
Taura,Gabasawa,65.38,0
Bodinga,Sokoto North,34.76,0
Bodinga,Tureta,82.22,0
Bodinga,Tambuwal,65.02,0
Askira/Uba,Michika,34.97,0
Askira/Uba,Hong,90.24,0
Askira/Uba,Damboa,87.75,0
Irepo,Saki East,60.33,0
Irepo,Baruten,83.0,0
Irepo,Kaiama,91.63,0
Ohaukwu,Izzi,48.3,0
Ohaukwu,Enugu East,73.07,0
Ohaukwu,Onicha,64.62,0
Boki,Ogoja,80.16,0
Boki,Ikom,59.87,0
Boki,Etung,73.38,0
Bunkure,Dawakin Kudu,48.75,0
Bunkure,Rimin Gado,69.06,0
Bunkure,Tudun Wada,67.55,0
Warri South,Sapele,58.02,0
Warri South,Ethiope West,59.36,0
Warri South,Warri South West,53.63,0
Gashaka,Sardauna,102.62,0
Gashaka,Kurmi,240.68,0
Gashaka,Bali,128.49,0
Ijebu North,Ona-Ara,47.24,0
Ijebu North,Egbeda,60.14,0
Ijebu North,Ibadan North East,47.91,0
Guzamala,Camp(7),71.48,0
Guzamala,Nganzai,70.93,0
Guzamala,Gubio,65.96,0
Akoko North West,Gbonyin,45.32,0
Akoko North West,Akoko-Edo,67.37,0
Akoko North West,Yagba East,74.8,0
Akko,Gombe,52.44,0
Akko,Yamaltu/Deba,62.73,0
Akko,Shomgom,91.82,0
Ibarapa East,Odeda,59.39,0
Ibarapa East,Iseyin,53.51,0
Ibarapa East,Abeokuta South,72.06,0
Nnewi South,Aguata,21.95,0
Nnewi South,Anaocha,16.59,0
Nnewi South,Idemili North,29.32,0
Logo,Ukum,69.89,0
Logo,Camp(14),135.11,0
Logo,Guma,126.5,0
Obi Ngwa,Aba South,14.67,0
Obi Ngwa,Essien Udim,30.79,0
Obi Ngwa,Umuahia South,45.78,0
Oredo,Sapele,69.34,0
Oredo,Ethiope West,66.16,0
Oredo,Orhionmwon,70.54,0
Jos North,Camp(9),12.85,0
Jos North,Bassa,21.59,0
Jos North,Barkin Ladi,50.75,0
Arewa-Dandi,Birnin Kebbi,53.07,0
Arewa-Dandi,Argungu,42.47,0
Arewa-Dandi,Aleiro,102.64,0
