Date,Refugees
2022-08-01,0
2022-08-10,6
2022-08-19,37
2022-08-28,40
2022-09-01,102
2022-09-10,109
2022-09-19,127
2022-09-28,408
2022-10-01,404
2022-10-10,433
2022-10-19,646
2022-10-28,778
2022-11-01,1290
2022-11-10,1198
2022-11-19,1260
2022-11-28,1770
2022-12-01,1651
2022-12-10,2644
2022-12-19,1939
2022-12-28,2642
2023-01-01,2775
2023-01-10,3643
2023-01-19,1756
2023-01-28,3457
2023-02-01,3469
2023-02-10,3919
2023-02-19,5000
2023-02-28,4754
2023-03-01,3661
2023-03-10,6103
2023-03-19,5910
2023-03-28,9013
2023-04-01,9853
2023-04-10,7102
2023-04-19,5755
2023-04-28,8073
2023-05-01,8514
2023-05-10,8937
2023-05-19,6718
2023-05-28,6512
2023-06-01,10580
2023-06-10,10396
2023-06-19,17413
2023-06-28,12274
2023-07-01,12894
2023-07-10,19313
2023-07-19,13933
2023-07-28,14837
