Date,Refugees
2022-08-01,0
2022-08-10,4
2022-08-19,15
2022-08-28,28
2022-09-01,25
2022-09-10,80
2022-09-19,82
2022-09-28,189
2022-10-01,237
2022-10-10,261
2022-10-19,318
2022-10-28,387
2022-11-01,460
2022-11-10,431
2022-11-19,619
2022-11-28,834
2022-12-01,905
2022-12-10,524
2022-12-19,1053
2022-12-28,1168
2023-01-01,1583
2023-01-10,1426
2023-01-19,1452
2023-01-28,941
2023-02-01,2230
2023-02-10,2031
2023-02-19,2802
2023-02-28,3153
2023-03-01,2558
2023-03-10,1458
2023-03-19,2969
2023-03-28,4690
2023-04-01,2452
2023-04-10,5236
2023-04-19,5330
2023-04-28,3206
2023-05-01,2586
2023-05-10,3620
2023-05-19,2744
2023-05-28,5048
2023-06-01,5287
2023-06-10,5569
2023-06-19,5884
2023-06-28,4801
2023-07-01,6483
2023-07-10,6784
2023-07-19,4658
2023-07-28,6751
