Date,Refugees
2022-08-01,0
2022-08-10,3
2022-08-19,12
2022-08-28,28
2022-09-01,51
2022-09-10,90
2022-09-19,122
2022-09-28,196
2022-10-01,122
2022-10-10,195
2022-10-19,435
2022-10-28,566
2022-11-01,377
2022-11-10,544
2022-11-19,725
2022-11-28,1000
2022-12-01,818
2022-12-10,497
2022-12-19,901
2022-12-28,1498
2023-01-01,746
2023-01-10,1432
2023-01-19,1296
2023-01-28,1122
2023-02-01,1530
2023-02-10,2043
2023-02-19,2206
2023-02-28,3342
2023-03-01,2171
2023-03-10,2136
2023-03-19,2931
2023-03-28,3748
2023-04-01,4662
2023-04-10,3574
2023-04-19,2890
2023-04-28,4019
2023-05-01,4082
2023-05-10,3458
2023-05-19,2479
2023-05-28,7090
2023-06-01,6432
2023-06-10,7881
2023-06-19,5833
2023-06-28,4813
2023-07-01,6437
2023-07-10,5432
2023-07-19,7103
2023-07-28,9235
