Date,Refugees
2022-08-01,0
2022-08-10,4
2022-08-19,6
2022-08-28,15
2022-09-01,70
2022-09-10,55
2022-09-19,58
2022-09-28,193
2022-10-01,224
2022-10-10,257
2022-10-19,317
2022-10-28,389
2022-11-01,272
2022-11-10,671
2022-11-19,556
2022-11-28,698
2022-12-01,924
2022-12-10,889
2022-12-19,1053
2022-12-28,820
2023-01-01,1564
2023-01-10,1430
2023-01-19,1358
2023-01-28,2453
2023-02-01,1306
2023-02-10,2041
2023-02-19,3036
2023-02-28,1367
2023-03-01,2573
2023-03-10,1778
2023-03-19,2930
2023-03-28,2617
2023-04-01,2256
2023-04-10,1887
2023-04-19,4991
2023-04-28,3353
2023-05-01,2364
2023-05-10,2688
2023-05-19,6574
2023-05-28,2857
2023-06-01,5739
2023-06-10,6859
2023-06-19,3379
2023-06-28,6145
2023-07-01,3538
2023-07-10,8980
2023-07-19,6805
2023-07-28,8338
