Date,Refugees
2022-08-01,0
2022-08-10,26
2022-08-19,126
2022-08-28,201
2022-09-01,194
2022-09-10,439
2022-09-19,1121
2022-09-28,1116
2022-10-01,1474
2022-10-10,1561
2022-10-19,2260
2022-10-28,1942
2022-11-01,3261
2022-11-10,4824
2022-11-19,4110
2022-11-28,5648
2022-12-01,5773
2022-12-10,6230
2022-12-19,4640
2022-12-28,11979
2023-01-01,4888
2023-01-10,14329
2023-01-19,13911
2023-01-28,17166
2023-02-01,10868
2023-02-10,21155
2023-02-19,21935
2023-02-28,15837
2023-03-01,16104
2023-03-10,19372
2023-03-19,11872
2023-03-28,21979
2023-04-01,23340
2023-04-10,32757
2023-04-19,16764
2023-04-28,28248
2023-05-01,24634
2023-05-10,40413
2023-05-19,18491
2023-05-28,35190
2023-06-01,37035
2023-06-10,50271
2023-06-19,33298
2023-06-28,37908
2023-07-01,63545
2023-07-10,55325
2023-07-19,48824
2023-07-28,67529
