Date,Refugees
2022-08-01,0
2022-08-10,3
2022-08-19,15
2022-08-28,23
2022-09-01,50
2022-09-10,70
2022-09-19,89
2022-09-28,135
2022-10-01,269
2022-10-10,281
2022-10-19,322
2022-10-28,390
2022-11-01,589
2022-11-10,547
2022-11-19,532
2022-11-28,723
2022-12-01,506
2022-12-10,975
2022-12-19,1275
2022-12-28,1643
2023-01-01,1301
2023-01-10,884
2023-01-19,1476
2023-01-28,1733
2023-02-01,1909
2023-02-10,2164
2023-02-19,2315
2023-02-28,3549
2023-03-01,2533
2023-03-10,4003
2023-03-19,3817
2023-03-28,4585
2023-04-01,3357
2023-04-10,3595
2023-04-19,4877
2023-04-28,5381
2023-05-01,5694
2023-05-10,5439
2023-05-19,5806
2023-05-28,5018
2023-06-01,7886
2023-06-10,8270
2023-06-19,5882
2023-06-28,4114
2023-07-01,6812
2023-07-10,6667
2023-07-19,9087
2023-07-28,7384
