Date,Refugees
2022-08-01,0
2022-08-10,1
2022-08-19,19
2022-08-28,30
2022-09-01,27
2022-09-10,78
2022-09-19,91
2022-09-28,156
2022-10-01,142
2022-10-10,361
2022-10-19,418
2022-10-28,364
2022-11-01,611
2022-11-10,674
2022-11-19,347
2022-11-28,862
2022-12-01,1063
2022-12-10,938
2022-12-19,963
2022-12-28,1287
2023-01-01,1300
2023-01-10,1434
2023-01-19,1907
2023-01-28,932
2023-02-01,1466
2023-02-10,1859
2023-02-19,2188
2023-02-28,2801
2023-03-01,3389
2023-03-10,2738
2023-03-19,2612
2023-03-28,2794
2023-04-01,1938
2023-04-10,2705
2023-04-19,4870
2023-04-28,5391
2023-05-01,5306
2023-05-10,4505
2023-05-19,2964
2023-05-28,5917
2023-06-01,4214
2023-06-10,4850
2023-06-19,5831
2023-06-28,6599
2023-07-01,6372
2023-07-10,4770
2023-07-19,10079
2023-07-28,10554
