Date,Refugees
2022-08-01,0
2022-08-10,3
2022-08-19,13
2022-08-28,28
2022-09-01,36
2022-09-10,49
2022-09-19,115
2022-09-28,156
2022-10-01,222
2022-10-10,259
2022-10-19,317
2022-10-28,384
2022-11-01,333
2022-11-10,539
2022-11-19,632
2022-11-28,820
2022-12-01,817
2022-12-10,931
2022-12-19,665
2022-12-28,1716
2023-01-01,1162
2023-01-10,1395
2023-01-19,1555
2023-01-28,1723
2023-02-01,2582
2023-02-10,2785
2023-02-19,2433
2023-02-28,3273
2023-03-01,2459
2023-03-10,2568
2023-03-19,2331
2023-03-28,1855
2023-04-01,3083
2023-04-10,2850
2023-04-19,3786
2023-04-28,5945
2023-05-01,4297
2023-05-10,4512
2023-05-19,6666
2023-05-28,4996
2023-06-01,5866
2023-06-10,4971
2023-06-19,5881
2023-06-28,4088
2023-07-01,5116
2023-07-10,8384
2023-07-19,6577
2023-07-28,10893
