Date,Refugees
2022-08-01,0
2022-08-10,9
2022-08-19,35
2022-08-28,122
2022-09-01,153
2022-09-10,350
2022-09-19,456
2022-09-28,573
2022-10-01,616
2022-10-10,780
2022-10-19,542
2022-10-28,649
2022-11-01,1249
2022-11-10,1276
2022-11-19,1878
2022-11-28,2161
2022-12-01,2459
2022-12-10,2792
2022-12-19,3139
2022-12-28,4673
2023-01-01,3077
2023-01-10,3435
2023-01-19,4748
2023-01-28,7287
2023-02-01,2952
2023-02-10,6688
2023-02-19,6840
2023-02-28,7193
2023-03-01,10009
2023-03-10,8205
2023-03-19,10229
2023-03-28,6612
2023-04-01,8953
2023-04-10,10658
2023-04-19,11347
2023-04-28,13654
2023-05-01,12639
2023-05-10,10665
2023-05-19,11755
2023-05-28,17124
2023-06-01,21765
2023-06-10,16531
2023-06-19,22115
2023-06-28,12480
2023-07-01,19268
2023-07-10,20292
2023-07-19,20913
2023-07-28,21943
