Date,Refugees
2022-08-01,0
2022-08-10,1
2022-08-19,17
2022-08-28,16
2022-09-01,50
2022-09-10,71
2022-09-19,169
2022-09-28,155
2022-10-01,205
2022-10-10,289
2022-10-19,240
2022-10-28,450
2022-11-01,583
2022-11-10,736
2022-11-19,522
2022-11-28,996
2022-12-01,595
2022-12-10,784
2022-12-19,1051
2022-12-28,1151
2023-01-01,1602
2023-01-10,1202
2023-01-19,1812
2023-01-28,1732
2023-02-01,2789
2023-02-10,1354
2023-02-19,2217
2023-02-28,1466
2023-03-01,2672
2023-03-10,2730
2023-03-19,1510
2023-03-28,3161
2023-04-01,4106
2023-04-10,3597
2023-04-19,5535
2023-04-28,4064
2023-05-01,6024
2023-05-10,5017
2023-05-19,4769
2023-05-28,4811
2023-06-01,3212
2023-06-10,6228
2023-06-19,8218
2023-06-28,6188
2023-07-01,7684
2023-07-10,6666
2023-07-19,3893
2023-07-28,7128
