Date,Refugees
2022-08-01,0
2022-08-10,9
2022-08-19,45
2022-08-28,122
2022-09-01,145
2022-09-10,237
2022-09-19,181
2022-09-28,610
2022-10-01,618
2022-10-10,595
2022-10-19,1024
2022-10-28,1273
2022-11-01,852
2022-11-10,2111
2022-11-19,2400
2022-11-28,2335
2022-12-01,2134
2022-12-10,3418
2022-12-19,3163
2022-12-28,4529
2023-01-01,2944
2023-01-10,4275
2023-01-19,4719
2023-01-28,5380
2023-02-01,8361
2023-02-10,4519
2023-02-19,7616
2023-02-28,6857
2023-03-01,8274
2023-03-10,8265
2023-03-19,9455
2023-03-28,10212
2023-04-01,5743
2023-04-10,11597
2023-04-19,5943
2023-04-28,11988
2023-05-01,8838
2023-05-10,13515
2023-05-19,19025
2023-05-28,18049
2023-06-01,16005
2023-06-10,10221
2023-06-19,21811
2023-06-28,20923
2023-07-01,19260
2023-07-10,29579
2023-07-19,20944
2023-07-28,23922
