Date,Refugees
2022-08-01,0
2022-08-10,4
2022-08-19,14
2022-08-28,28
2022-09-01,28
2022-09-10,96
2022-09-19,151
2022-09-28,216
2022-10-01,203
2022-10-10,310
2022-10-19,163
2022-10-28,265
2022-11-01,463
2022-11-10,730
2022-11-19,452
2022-11-28,425
2022-12-01,881
2022-12-10,661
2022-12-19,1043
2022-12-28,1271
2023-01-01,720
2023-01-10,840
2023-01-19,1567
2023-01-28,1569
2023-02-01,1281
2023-02-10,2894
2023-02-19,1758
2023-02-28,2020
2023-03-01,1701
2023-03-10,2785
2023-03-19,2920
2023-03-28,3159
2023-04-01,4176
2023-04-10,2825
2023-04-19,4379
2023-04-28,5615
2023-05-01,5127
2023-05-10,4374
2023-05-19,3849
2023-05-28,7130
2023-06-01,2764
2023-06-10,4419
2023-06-19,3246
2023-06-28,6106
2023-07-01,7329
2023-07-10,5517
2023-07-19,8284
2023-07-28,6790
