Aba,Etiam-Etoi,76
Aba,Okobe,118
Aba,Akokwa,124
Abakpa Nike,Akokwa,111
Abakpa Nike,Ankpa,122
Abinsi,Obi,117
Abinsi,Izi,210
Abinsi,Ankpa,216
Bali,Abinsi,332
Bali,Billiri,369
Billiri,Gulani,139
Billiri,Biu,171
Billiri,Gombi,296
Biu,Gulani,77
Biu,Gombi,92
Burra,Iggi,111
Daraga,Funtua,233
Dawakin Kudu,Iggi,114
Dawakin Kudu,Burra,136
Doka,Funtua,146
Doka,Dawakin Kudu,219
Doka,Paiko,243
Ehor,Okitipupa,189
Ehor,Ogu-Ikpele,190
Ehor,Akokwa,191
Etiam-Etoi,Inyima,190
Funtua,Dawakin Kudu,209
Hawan Kibu,Obi,187
Hawan Kibu,Burra,222
Hawan Kibu,Idu,231
Ibafo,Ogbere,99
Ibrede,Okobe,135
Ibrede,Ogu-Ikpele,160
Ibrede,Akokwa,161
Ido Ekiti,Share,167
Idu,Doka,197
Idu,Obi,234
Ife-Ife,Ido Ekiti,107
Inyima,Izi,134
Inyima,Akokwa,158
Inyima,Abakpa Nike,170
Izi,Abakpa Nike,121
Kosofe,Ibafo,24
Kosofe,Ogbere,123
Kosofe,Ife-Ife,202
Kosofe,Okitipupa,206
Ogbere,Ife-Ife,88
Ogu-Ikpele,Akokwa,93
Ogu-Ikpele,Okobe,112
Okitipupa,Ife-Ife,143
Paiko,Idu,113
Ruawuri,Zuru,338
Ruawuri,Daraga,406
Share,Ife-Ife,220
Share,Ogbere,237
Share,Paiko,335
Zuru,Daraga,93
Chad,Biu,430
Cameroon,Gombi,193
Frupa,Okobe,130
Niger,Biu,433
Niger,Dawakin Kudu,583
