#name,region,country,latitude,longitude,location_type,conflict_date,population,fatalities,initial_idps,first_event_date,conflict_score,original_camps
Aba North,Abia,Nigeria,5.0938628,7.3947877,town,0,155600,0,5,,0.05,
Aba South,Abia,Nigeria,5.0876592,7.3497135,town,0,622400,0,24,,0.24,
Arochukwu,Abia,Nigeria,5.5185153,7.8694045,conflict_zone,1,246600,2,24,25/02/2023,0.24,
Bende,Abia,Nigeria,5.6390798,7.5893402,town,0,280500,0,10,,0.1,
Ikwuano,Abia,Nigeria,5.4092775,7.5729916,town,0,200800,0,7,,0.07,
Isiala-Ngwa North,Abia,Nigeria,5.2795472,7.4422931,town,0,224400,0,8,,0.08,
Isiala-Ngwa South,Abia,Nigeria,5.3855522,7.4163509,town,0,199000,0,7,,0.07,
Isuikwuato,Abia,Nigeria,5.8080022,7.4696705,town,0,168600,0,6,,0.06,
Obi Ngwa,Abia,Nigeria,5.1522715,7.4478142,town,0,264900,0,10,,0.1,
Ohafia,Abia,Nigeria,5.6629148,7.8324886,conflict_zone,1,358200,0,35,02/03/2023,0.35,
Osisioma Ngwa,Abia,Nigeria,5.1924922,7.3358399,town,0,321300,0,12,,0.12,
Ugwunagbo,Abia,Nigeria,5.0223494,7.3554656,town,0,124300,0,4,,0.04,
Ukwa East,Abia,Nigeria,4.9369271,7.4028023,town,0,84700,0,2,,0.02,
Ukwa West,Abia,Nigeria,4.9791653,7.2646812,town,0,127200,0,4,,0.04,
Umuahia North,Abia,Nigeria,5.6078214,7.4762003,town,0,324900,0,12,,0.12,
Umuahia South,Abia,Nigeria,5.4980793,7.4618449,conflict_zone,1,202500,0,19,09/08/2022,0.19,
Umu-Nneochi,Abia,Nigeria,5.9731936,7.4053403,town,0,237500,0,8,,0.08,
Demsa,Adamawa,Nigeria,9.4222181,12.0875217,town,0,275100,0,4878,,0.1,
Fufore,Adamawa,Nigeria,9.2577101,12.7592871,conflict_zone,1,323000,1,3805,06/01/2023,0.32,
Ganye,Adamawa,Nigeria,8.4379908,11.8544901,town,0,262100,0,258,,0.09,
Girei,Adamawa,Nigeria,9.4182119,12.4745425,conflict_zone,1,200200,2,4883,24/07/2023,0.19,
Gombi,Adamawa,Nigeria,10.2425242,12.53884,conflict_zone,1,227900,2,1234,23/12/2022,0.22,
Guyuk,Adamawa,Nigeria,9.8359475,11.9223112,town,0,272200,0,3126,,0.1,
Hong,Adamawa,Nigeria,10.2622947,12.9479254,town,0,260900,0,1233,,0.09,
Jada,Adamawa,Nigeria,8.6964628,12.3215818,town,0,259700,0,132,,0.09,
Lamurde,Adamawa,Nigeria,9.6072357,11.7930477,town,0,171600,0,1860,,0.06,
Madagali,Adamawa,Nigeria,10.786603,13.4885513,town,0,208400,0,5110,,0.07,
Maiha,Adamawa,Nigeria,9.8562705,13.1576397,conflict_zone,1,169900,2,5579,02/05/2023,0.16,
Mayo-Belwa,Adamawa,Nigeria,8.871243,12.0202268,town,0,235600,0,525,,0.08,
Michika,Adamawa,Nigeria,10.577505,13.4045579,conflict_zone,1,239400,1,3900,04/12/2022,0.23,
Mubi North,Adamawa,Nigeria,10.2801221,13.3214501,town,0,233600,0,2891,,0.08,
Mubi South,Adamawa,Nigeria,10.148035,13.3284979,town,0,200400,0,2029,,0.07,
Numan,Adamawa,Nigeria,9.4598443,12.0359283,town,0,141200,0,8057,,0.04,
Shelleng,Adamawa,Nigeria,9.9784484,12.1080891,town,0,229000,0,5094,,0.08,
Song,Adamawa,Nigeria,9.7789798,12.642119,town,0,301000,0,571,,0.11,
Toungo,Adamawa,Nigeria,8.11751,12.0469523,conflict_zone,1,80500,1,208,09/04/2023,0.07,
Yola North,Adamawa,Nigeria,9.2662849,12.251132,town,0,307900,0,3665,,0.11,
Yola South,Adamawa,Nigeria,9.2581806,12.4082125,town,0,302500,0,7598,,0.11,
Abak,Akwa Ibom,Nigeria,5.0040731,7.7956668,conflict_zone,1,177500,0,17,31/10/2022,0.17,
Eastern Obolo,Akwa Ibom,Nigeria,4.5130764,7.6827233,town,0,76500,0,2,,0.02,
Eket,Akwa Ibom,Nigeria,4.6360066,7.9575416,conflict_zone,2,220600,0,21,07/04/2023,0.21,
Esit Eket,Akwa Ibom,Nigeria,4.642734,8.0759035,town,0,80900,0,2,,0.02,
Essien Udim,Akwa Ibom,Nigeria,5.1035626,7.6567273,town,0,246600,0,9,,0.09,
Etim Ekpo,Akwa Ibom,Nigeria,4.954823,7.5738446,town,0,135200,0,4,,0.04,
Etinan,Akwa Ibom,Nigeria,4.8457415,7.8431499,town,0,215600,0,8,,0.08,
Ibeno,Akwa Ibom,Nigeria,4.5580121,8.1085551,town,0,95500,0,3,,0.03,
Ibesikpo Asutan,Akwa Ibom,Nigeria,4.9179451,7.9647991,town,0,175000,0,6,,0.06,
Ibiono Ibom,Akwa Ibom,Nigeria,5.2040105,7.8974506,town,0,240700,0,9,,0.09,
Ika,Akwa Ibom,Nigeria,5.0161686,7.542619,town,0,92900,0,3,,0.03,
Ikono,Akwa Ibom,Nigeria,5.1832347,7.7908996,town,0,168000,0,6,,0.06,
Ikot Abasi,Akwa Ibom,Nigeria,4.6078351,7.6349694,town,0,169200,0,6,,0.06,
Ikot Ekpene,Akwa Ibom,Nigeria,5.181975,7.7132177,town,0,180500,0,6,,0.06,
Ini,Akwa Ibom,Nigeria,5.4039717,7.7515186,town,0,126400,0,4,,0.04,
Itu,Akwa Ibom,Nigeria,5.1451749,8.0032914,conflict_zone,2,163200,1,15,22/10/2022,0.15,
Mbo,Akwa Ibom,Nigeria,4.6506469,8.2493976,town,0,130400,0,4,,0.04,
Mkpat Enin,Akwa Ibom,Nigeria,4.7047345,7.7610095,conflict_zone,1,226200,1,22,13/04/2023,0.22,
Nsit Atai,Akwa Ibom,Nigeria,4.8185556,8.013983,town,0,93700,0,3,,0.03,
